Stock,source,Year,Rev2013,Council,Lab,Record,Habitat,Bycatch,Diet,Predator,Climate,TechInt,Competition,OF2001,OF0105,OF10-14,OF2014,Sptype,DietLab
Shallow-water flatfish,web,2009,8315893,NPFMC,AFSC,LK,0,1,1,0,0,0,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Shortraker rockfish (BSAI),web,2014,8478399,NPFMC,AFSC,LK,1,0,1,0,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Shortraker rockfish (GOA),web,2011,8478399,NPFMC,AFSC,LK,1,2,1,1,1,0,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Skate complex (BSAI),web,2014,6341673,NPFMC,AFSC,LK,1,0,2,2,2,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Thornyheads (GOA),web,2011,,NPFMC,AFSC,LK,1,1,2,2,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Walleye pollock Aleutian Islands,RAM,2012,406435240,NPFMC,AFSC,KM,1,2,2,2,0,0,1,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Walleye pollock Bogoslof,web,2014,406435240,NPFMC,AFSC,LK,1,1,0,1,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Walleye pollock Eastern Bering Sea,web,2014,406435240,NPFMC,AFSC,LK,1,2,1,2,2,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Walleye pollock GOA,web,2014,406435240,NPFMC,AFSC,LK,0,2,2,2.5,1,2,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Yellowfin sole BSAI,web,2014,60886691,NPFMC,AFSC,KM,1,2,2,1,3,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Yellowfin sole BSAI,web,2014,60886691,NPFMC,AFSC,KM,1,2,2,1,3,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Dusky Rockfish GOA,web,2013,8478399,NPFMC,AFSC,KM,1,2,1,1,1,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Blackspotted and Rougheye Rockfish (GOA),web,2014,8478399,NPFMC ,AFSC,LK,1,2,1,1,1,3,0,0,Not Overfished,Not Overfished,0,groundfish,Diet Lab
Arrowtooth flounder - Pacific Coast,web,2007,487093,PFMC,NW-SW,KM,1,0,2,1,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Aurora Rockfish,web,2013,5636,PFMC,NW-SW,KM,1,0,1,1,1,3,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Black rockfish - Northern Pacific Coast,web,2007,521283,PFMC,NW-SW,KM,1,0,0,0,1,3,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Black rockfish - Southern Pacific Coast,web,2007,157747,PFMC,NW-SW,KM,3,0,1,1,0,3,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Blackgill rockfish Pacific Coast,RAM,2011,144129,PFMC,NW-SW,KM,1,0,1,1,1,2,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Blue Rockfish ,RAM,2008,43003,PFMC,NW-SW,LK,1,0,1,1,1,1,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Bocaccio - Southern Pacific Coast,web,2009,39734,PFMC,NW-SW,KM,2,0,1,1,2,3,0,1,Overfished,Not Overfished,0,groundfish,No Diet Lab
Cabezon California and Oregon Coast,RAM,2009,512962,PFMC,NW-SW,KM,1,0,0,0,1,0,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
California scorpionfish - Southern California,web,2005,28118,PFMC,NW-SW,KM,1,0,1,0,0,1,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
Canary rockfish - Pacific Coast,web,2007,17388,PFMC,NW-SW,KM,1,0,1,1,1,3,0,1,Overfished,Overfished,1,groundfish,No Diet Lab
Chilipepper - Southern Pacific Coast,web,2007,471986,PFMC,NW-SW,KM,1,1,1,1,3,1,0,0,Not Overfished,Not Overfished,0,groundfish,No Diet Lab
