Stock,source,Year,Rev2013,Council,Lab,Record,Habitat,Bycatch,Diet,Predator,Climate,TechInt,Competition,OF2001,OF0105,OF10-14,OF2014,Sptype,DietLab,Hab.comm,Clim.comm
Pollock - Gulf of Maine / George's Bank,web,2010,11395943,NEFMC,NEFSC,KM,0,1,2,0,3,3,0,0,1,1,0,groundfish,1,NA,temp depend catchability
Northern rock sole Eastern Bering Sea and Aleutian Islands,RAM,2012,16367921,NPFMC,AFSC,KM,1,2,2,1,3,2,0,0,0,0,0,groundfish,1,NA,temp depend catchability
Tilefish Gulf of Mexico,RAM,2011,113480657,GMFMC,SEFSC,KM,3,0,0,0,1,2,0,0,0,0,0,groundfish,0,habitat filter,NA
Spiny lobster - Southeast US,web,2005,50185930,SA-GM,SEFSC,KM,3,1,1,0,1,0,0,0,0,0,0,Invert,0,habitat filter,NA
Yellowfin sole BSAI,web,2014,60886691,NPFMC,AFSC,KM,1,2,2,1,3,3,0,0,0,0,0,groundfish,1,habitat filter,temp depend catchability and growth
Whiting Pacific Coast,web,2014,61321406,PFMC,NW-SW,KM,1,2,1,1,1,1,0,0,1,0,0,groundfish,0,NA,NA
Sablefish Alaska,web,2014,82111039,NPFMC,AFSC,KM,1,2,1,1,2,3,1,0,0,0,0,groundfish,1,NA,NA
Blue King Crab Pribilof Islands,RAM,2013,16573920.4,NPFMC,AFSC,KM,1,0,0,1,2,3,1,0,1,1,0,Invert,1,NA,NA
Blue King Crab Saint Matthew,RAM,2013,16573920.4,NPFMC,ADFG,KM,1,0,0,0,0,3,0,1,1,1,1,Invert,0,NA,NA
King Mackerel South Atlantic,WEB,2014,5213393,SAFMC,SEFSC,KM,1,0,1,0,3,3,0,0,0,0,0,pelagic,0,NA,temp depend catchability and recruitment
Red King Crab Norton Sound,RAM,2013,16573920.4,NPFMC,ADFG,KM,1,0,0,0,0,2,0,0,0,0,0,Invert,0,NA,NA
Chilipepper - Southern Pacific Coast,web,2007,471986,PFMC,NW-SW,KM,1,1,1,1,3,1,0,0,0,0,0,groundfish,0,NA,time varying growth PDO regime
Snow crab Bering Sea,RAM,2013,132369655,NPFMC,AFSC,KM,0,1,0,1,2,3,1,0,1,0,0,Invert,1,NA,NA
Pacific cod Bering Sea and Aleutian Islands,RAM,2012,78064540,NPFMC,AFSC,KM,2,2,1,1,2,0,0,0,0,0,0,groundfish,1,NA,NA
Pacific cod Gulf of Alaska,RAM,2013,78064540,NPFMC,AFSC,KM,1,2,2,2,2,0,0,0,0,0,0,groundfish,1,NA,NA
White shrimp Gulf of Mexico,RAM,2012,230775707,GMFMC,SEFSC,KM,0,0,0,0,0,0,0,0,0,0,0,Invert,0,NA,NA
Brown shrimp Gulf of Mexico,web,2012,245720719,GMFMC,SEFSC,KM,0,0,0,0,0,0,0,0,0,0,0,Invert,0,NA,NA
Walleye pollock Aleutian Islands,RAM,2012,101608810,NPFMC,AFSC,KM,1,2,2,2,0,0,1,0,0,0,0,groundfish,1,NA,NA
Sea Scallop Georges Bank / Mid-Atlantic Bight,web,2014,466920237,NEFMC,NEFSC,KM,3,0,2,2,2,0,0,0,0,0,0,Invert,1,total habitat area,NA
